fid,tile_id,row,col,conf,class,img,x1,y1,x2,y2,x_coord,y_coord,Bairro,lat,lon
271,1091686,140032,247808,0.633624017238617,falso,det_1091686.png,,0.05609130859375,,,684669.04,8169548.24,U.t.p. Zona Rural,-49.2694026078,-16.5489362116
272,1091693,140032,249600,0.743148148059845,falso,det_1091693.png,,,,,684812.4,8169548.24,U.t.p. Zona Rural,-49.2680595763,-16.5489250593
277,1101634,141312,242176,0.687350571155548,falso,det_1101634.png,,,256.0,,684218.48,8169445.84,U.t.p. Zona Rural,-49.2736153349,-16.5498964729
278,1101651,141312,246528,0.730808556079865,falso,det_1101651.png,,,,,684566.64,8169445.84,U.t.p. Zona Rural,-49.2703536652,-16.5498694383
280,1103633,141568,243456,0.686615586280823,falso,det_1103633.png,0.125648498535156,,,,684320.88,8169425.36,U.t.p. Zona Rural,-49.2726543715,-16.5500735803
283,1107608,142080,240128,0.769815027713776,falso,det_1107608.png,,0.0,256.0,,684054.64,8169384.4,U.t.p. Zona Rural,-49.275145303,-16.5504643385
284,1107616,142080,242176,0.727263271808624,falso,det_1107616.png,,,,,684218.48,8169384.4,U.t.p. Zona Rural,-49.2736103931,-16.5504516335
287,1109622,142336,245248,0.626090466976166,falso,det_1109622.png,,0.0,,,684464.24,8169363.92,U.t.p. Zona Rural,-49.2713063813,-16.5506176081
299,1125580,144384,246784,0.707240998744965,falso,det_1125580.png,,,,,684587.12,8169200.08,U.t.p. Zona Rural,-49.2701419946,-16.5520884844
301,1127360,144640,192000,0.729407131671906,falso,det_1127360.png,,,256.0,,680204.4,8169179.6,U.t.p. Zona Rural,-49.3111999542,-16.552610228
302,1127561,144640,243456,0.608464300632477,falso,det_1127561.png,,,,,684320.88,8169179.6,U.t.p. Zona Rural,-49.2726345919,-16.5522942212
303,1127579,144640,248064,0.70414125919342,falso,det_1127579.png,,0.0,,,684689.52,8169179.6,U.t.p. Zona Rural,-49.2691810186,-16.5522655744
305,1129580,144896,249856,0.802024602890015,falso,det_1129580.png,,0.0,,256.0,684832.88,8169159.12,U.t.p. Zona Rural,-49.2678363111,-16.5524394714
309,1135423,145664,214272,0.602587401866913,falso,det_1135423.png,,,,,681986.16,8169097.68,U.t.p. Zona Rural,-49.2945008702,-16.5532145457
310,1137430,145920,217600,0.986207723617554,verdadeiro,det_1137430.png,0.144935607910156,0.0652008056640625,,,682252.4,8169077.2,U.t.p. Zona Rural,-49.2920049516,-16.5533791778
311,1137430,145920,217600,0.855644166469574,verdadeiro,det_1137430.png,0.057464599609375,,256.0,256.0,682252.4,8169077.2,U.t.p. Zona Rural,-49.2920049516,-16.5533791778
314,1141300,146432,187392,0.670353531837463,falso,det_1141300.png,,,,,679835.76,8169036.24,U.t.p. Zona Rural,-49.3146423504,-16.5539335814
315,1143524,146688,246272,0.747392356395721,falso,det_1143524.png,,0.0941696166992188,,,684546.16,8169015.76,U.t.p. Zona Rural,-49.2705108699,-16.5537571469
325,1161222,148992,182784,0.625863194465637,falso,det_1161222.png,,,,,679467.12,8168831.44,U.t.p. Zona Rural,-49.3180799822,-16.5558120553
327,1171434,150272,244736,0.640994131565094,falso,det_1171434.png,,,,,684423.28,8168729.04,U.t.p. Zona Rural,-49.2716389747,-16.556357441
339,1179403,151296,242944,0.662077784538269,falso,det_1179403.png,,,,,684279.92,8168647.12,U.t.p. Zona Rural,-49.2729754659,-16.5571087884
344,1189243,152576,209664,0.829330384731293,falso,det_1189243.png,,,,,681617.52,8168544.72,U.t.p. Zona Rural,-49.2979106409,-16.5582392809
345,1191373,152832,244480,0.618831634521484,falso,det_1191373.png,,0.328712463378906,,,684402.8,8168524.24,U.t.p. Zona Rural,-49.2718143467,-16.5582095643
348,1199338,153856,241664,0.660656630992889,falso,det_1199338.png,,0.0,,,684177.52,8168442.32,U.t.p. Zona Rural,-49.2739183391,-16.5589672705
349,1199343,153856,242944,0.601368188858032,falso,det_1199343.png,,,,,684279.92,8168442.32,U.t.p. Zona Rural,-49.2729589788,-16.5589593216
350,1199347,153856,243968,0.658883452415466,falso,det_1199347.png,0.0,,,256.0,684361.84,8168442.32,U.t.p. Zona Rural,-49.272191491,-16.5589529593
357,1207283,154880,233728,0.626367032527924,falso,det_1207283.png,,,,,683542.64,8168360.4,U.t.p. Zona Rural,-49.2798598154,-16.5597566712
361,1211315,155392,244992,0.696528315544128,falso,det_1211315.png,,,,,684443.76,8168319.44,U.t.p. Zona Rural,-49.2714141014,-16.560056913
365,1213223,155648,222976,0.636114180088043,falso,det_1213223.png,,0.181472778320312,,,682682.48,8168298.96,U.t.p. Zona Rural,-49.2879136164,-16.5603782054
366,1213308,155648,244736,0.832178890705109,falso,det_1213308.png,,0.0166473388671875,256.0,,684423.28,8168298.96,U.t.p. Zona Rural,-49.2716043241,-16.5602435578
367,1213320,155648,247808,0.639910578727722,falso,det_1213320.png,0.0,,,,684669.04,8168298.96,U.t.p. Zona Rural,-49.269301848,-16.560224446
369,1215272,155904,237056,0.654904663562775,falso,det_1215272.png,,,,,683808.88,8168278.48,U.t.p. Zona Rural,-49.2773588828,-16.5604762798
371,1219151,156416,209152,0.628852009773254,falso,det_1219151.png,,,,,681576.56,8168237.52,U.t.p. Zona Rural,-49.2982700177,-16.5610182511
374,1219624,156416,330240,0.985862553119659,verdadeiro,det_1219624.png,,0.025665283203125,256.0,256.0,691263.6,8168237.52,U.t.p. Zona Rural,-49.2075147532,-16.5602572632
375,1219624,156416,330240,0.965694963932037,verdadeiro,det_1219624.png,0.0018386840820312,0.0,,256.0,691263.6,8168237.52,U.t.p. Zona Rural,-49.2075147532,-16.5602572632
377,1221618,156672,330240,0.983244121074677,verdadeiro,det_1221618.png,,0.03851318359375,256.0,256.0,691263.6,8168217.04,U.t.p. Zona Rural,-49.2075130418,-16.56044231
378,1221618,156672,330240,0.963462710380554,verdadeiro,det_1221618.png,0.00445556640625,0.0806655883789062,,256.0,691263.6,8168217.04,U.t.p. Zona Rural,-49.2075130418,-16.56044231
380,1223290,156928,247808,0.822490632534027,falso,det_1223290.png,,0.33154296875,,,684669.04,8168196.56,U.t.p. Zona Rural,-49.2692935855,-16.5611497105
384,1225284,157184,247808,0.693207740783691,falso,det_1225284.png,,,,,684669.04,8168176.08,U.t.p. Zona Rural,-49.269291933,-16.5613347634
386,1227135,157440,211200,0.612797200679779,verdadeiro,det_1227135.png,0.2452392578125,0.0,256.0,,681740.4,8168155.6,U.t.p. Zona Rural,-49.2967285001,-16.5617459308
391,1231201,157952,231168,0.633196353912354,falso,det_1231201.png,,,,,683337.84,8168114.64,U.t.p. Zona Rural,-49.2817588639,-16.5619931513
393,1239239,158976,247040,0.656105518341064,falso,det_1239239.png,,,,,684607.6,8168032.72,U.t.p. Zona Rural,-49.2698559903,-16.5626349147
394,1240674,159232,103936,0.710004866123199,falso,det_1240674.png,,,,,673159.28,8168012.24,U.t.p. Zona Rural,-49.3771159742,-16.5636831209
395,1243188,159488,237056,0.813827216625214,falso,det_1243188.png,,,,,683808.88,8167991.76,U.t.p. Zona Rural,-49.2773358538,-16.5630670313
399,1250709,160512,120576,0.635217785835266,falso,det_1250709.png,,,,,674490.48,8167909.84,U.t.p. Zona Rural,-49.3646355563,-16.5645108984
401,1253157,160768,236800,0.643120288848877,falso,det_1253157.png,,,,,683788.4,8167889.36,U.t.p. Zona Rural,-49.2775195057,-16.5639938861
404,1254650,161024,108544,0.757836878299713,falso,det_1254650.png,,,,,673527.92,8167868.88,U.t.p. Zona Rural,-49.3736511399,-16.5649516261
406,1255189,161024,246528,0.742345869541168,falso,det_1255189.png,0.747360229492188,0.529373168945312,,,684566.64,8167868.88,U.t.p. Zona Rural,-49.2702265259,-16.5641185248
411,1257513,161280,331008,0.886017978191376,verdadeiro,det_1257513.png,0.100357055664062,,,256.0,691325.04,8167848.4,U.t.p. Zona Rural,-49.2069066224,-16.5637681971
412,1258629,161536,106240,0.636337220668793,falso,det_1258629.png,,,,,673343.6,8167827.92,U.t.p. Zona Rural,-49.3753750281,-16.5653352273
413,1259067,161536,218368,0.962508022785187,verdadeiro,det_1259067.png,0.0195770263671875,0.0,,256.0,682313.84,8167827.92,U.t.p. Zona Rural,-49.2913298405,-16.5646628211
414,1259067,161536,218368,0.957988917827606,verdadeiro,det_1259067.png,,0.0,256.0,256.0,682313.84,8167827.92,U.t.p. Zona Rural,-49.2913298405,-16.5646628211
415,1259115,161536,230656,0.718596458435059,falso,det_1259115.png,,,256.0,,683296.88,8167827.92,U.t.p. Zona Rural,-49.2821196485,-16.5645870734
420,1261006,161792,204288,0.604661107063293,falso,det_1261006.png,,,,,681187.44,8167807.44,U.t.p. Zona Rural,-49.3018816227,-16.5649341712
423,1262712,162048,130560,0.611534655094147,falso,det_1262712.png,,,,256.0,675289.2,8167786.96,U.t.p. Zona Rural,-49.3571425813,-16.5655623849
425,1263107,162048,231680,0.699777781963348,falso,det_1263107.png,,,,,683378.8,8167786.96,U.t.p. Zona Rural,-49.2813488518,-16.5649508508
428,1264729,162304,136448,0.612867951393127,falso,det_1264729.png,,,,,675760.24,8167766.48,U.t.p. Zona Rural,-49.352727615,-16.5657125928
429,1265048,162304,218112,0.980778455734253,verdadeiro,det_1265048.png,,0.0526962280273438,256.0,256.0,682293.36,8167766.48,U.t.p. Zona Rural,-49.2915168249,-16.5652195598
430,1265048,162304,218112,0.815572082996368,verdadeiro,det_1265048.png,0.0,0.079498291015625,,,682293.36,8167766.48,U.t.p. Zona Rural,-49.2915168249,-16.5652195598
431,1265050,162304,218624,0.839157044887543,verdadeiro,det_1265050.png,,0.0,,256.0,682334.32,8167766.48,U.t.p. Zona Rural,-49.2911330647,-16.565216412
432,1266610,162560,107520,0.602795898914337,falso,det_1266610.png,,0.0389175415039062,,,673446.0,8167746.0,U.t.p. Zona Rural,-49.3744093757,-16.5660679939
433,1267051,162560,220416,0.758512675762177,falso,det_1267051.png,,,,,682477.68,8167746.0,U.t.p. Zona Rural,-49.2897882716,-16.565390444
436,1270643,163072,119040,0.710639297962189,falso,det_1270643.png,,,256.0,,674367.6,8167705.04,U.t.p. Zona Rural,-49.3657712672,-16.5663705535
437,1271036,163072,219648,0.912750899791718,verdadeiro,det_1271036.png,0.0,0.0,,256.0,682416.24,8167705.04,U.t.p. Zona Rural,-49.2903606461,-16.565765279
438,1272896,163328,185344,0.61610472202301,falso,det_1272896.png,,,,,679671.92,8167684.56,U.t.p. Zona Rural,-49.3160712104,-16.5661597789
439,1273030,163328,219648,0.661435067653656,verdadeiro,det_1273030.png,0.0,0.0,,256.0,682416.24,8167684.56,U.t.p. Zona Rural,-49.2903590132,-16.5659503338
440,1275024,163584,219648,0.782965540885925,verdadeiro,det_1275024.png,0.0,0.0,,256.0,682416.24,8167664.08,U.t.p. Zona Rural,-49.2903573802,-16.5661353887
441,1275035,163584,222464,0.964570820331573,verdadeiro,det_1275035.png,,0.0196533203125,256.0,256.0,682641.52,8167664.08,U.t.p. Zona Rural,-49.288246692,-16.5661180545
442,1275035,163584,222464,0.855364799499512,verdadeiro,det_1275035.png,0.0,0.0777587890625,,256.0,682641.52,8167664.08,U.t.p. Zona Rural,-49.288246692,-16.5661180545
444,1277018,163840,219648,0.838456153869629,verdadeiro,det_1277018.png,0.0111541748046875,0.0,,256.0,682416.24,8167643.6,U.t.p. Zona Rural,-49.2903557473,-16.5663204436
449,1279094,164096,240640,0.628539979457855,falso,det_1279094.png,,0.0947189331054688,,,684095.6,8167623.12,U.t.p. Zona Rural,-49.2746199239,-16.5663757624
450,1279117,164096,246528,0.813185930252075,falso,det_1279117.png,0.0,,,,684566.64,8167623.12,U.t.p. Zona Rural,-49.2702067007,-16.5663391598
451,1279118,164096,246784,0.739472389221191,falso,det_1279118.png,,,,,684587.12,8167623.12,U.t.p. Zona Rural,-49.2700148217,-16.5663375663
456,1288581,165376,116992,0.60285484790802,falso,det_1288581.png,,,,,674203.76,8167520.72,U.t.p. Zona Rural,-49.3672923396,-16.5680481506
462,1295087,166144,251136,0.663426637649536,falso,det_1295087.png,,,,256.0,684935.28,8167459.28,U.t.p. Zona Rural,-49.2667396369,-16.5677908696
463,1297081,166400,251136,0.640363991260529,falso,det_1297081.png,0.221099853515625,0.186225891113281,,256.0,684935.28,8167438.8,U.t.p. Zona Rural,-49.2667379812,-16.5679759221
465,1298819,166656,185600,0.725833475589752,falso,det_1298819.png,0.111045837402344,,,,679692.4,8167418.32,U.t.p. Zona Rural,-49.3158584135,-16.5685639725
466,1299075,166656,251136,0.828865528106689,falso,det_1299075.png,0.05133056640625,0.0,,256.0,684935.28,8167418.32,U.t.p. Zona Rural,-49.2667363255,-16.5681609746
467,1299078,166656,251904,0.667105197906494,falso,det_1299078.png,0.0082321166992187,0.60186767578125,,,684996.72,8167418.32,U.t.p. Zona Rural,-49.2661606841,-16.5681561834
470,1299908,166656,464384,0.680636703968048,falso,det_1299908.png,,,,,701995.12,8167418.32,U.t.p. Zona Rural,-49.1069074472,-16.5667695773
472,1300524,166912,111616,0.984178364276886,verdadeiro,det_1300524.png,0.0,0.1392822265625,,256.0,673773.68,8167397.84,U.t.p. Zona Rural,-49.3713127052,-16.5691900745
473,1300814,166912,185856,0.677217602729797,falso,det_1300814.png,0.0533447265625,0.0,,,679712.88,8167397.84,U.t.p. Zona Rural,-49.3156649186,-16.5687474781
474,1301005,166912,234752,0.654982268810272,falso,det_1301005.png,,,,,683624.56,8167397.84,U.t.p. Zona Rural,-49.2790150751,-16.5684478627
479,1302499,167168,106752,0.712439894676208,falso,det_1302499.png,,,,,673384.56,8167377.36,U.t.p. Zona Rural,-49.3749571011,-16.5694036166
480,1302971,167168,227584,0.617504060268402,falso,det_1302971.png,0.143951416015625,0.0,,,683051.12,8167377.36,U.t.p. Zona Rural,-49.2843861406,-16.5686772426
481,1303064,167168,251392,0.697782099246979,falso,det_1303064.png,0.0,,,,684955.76,8167377.36,U.t.p. Zona Rural,-49.2665411331,-16.5685294827
491,1308868,167936,205824,0.777182281017303,falso,det_1308868.png,,,,,681310.32,8167315.92,U.t.p. Zona Rural,-49.3006913818,-16.5693661236
494,1310526,168192,119808,0.794512391090393,falso,det_1310526.png,0.0283355712890625,0.91705322265625,,,674429.04,8167295.44,U.t.p. Zona Rural,-49.3651643674,-16.5700672748
495,1310871,168192,208128,0.968743741512299,verdadeiro,det_1310871.png,0.0,0.111503601074219,,,681494.64,8167295.44,U.t.p. Zona Rural,-49.2989627917,-16.5695370812
496,1310871,168192,208128,0.873266100883484,verdadeiro,det_1310871.png,,0.006103515625,256.0,256.0,681494.64,8167295.44,U.t.p. Zona Rural,-49.2989627917,-16.5695370812
500,1312875,168448,210688,0.922486186027527,verdadeiro,det_1312875.png,,0.314132690429688,256.0,,681699.44,8167274.96,U.t.p. Zona Rural,-49.2970423149,-16.5697064552
501,1312875,168448,210688,0.641904592514038,verdadeiro,det_1312875.png,0.0186080932617188,0.2156982421875,,,681699.44,8167274.96,U.t.p. Zona Rural,-49.2970423149,-16.5697064552
502,1312989,168448,239872,0.623297393321991,falso,det_1312989.png,0.005279541015625,,,,684034.16,8167274.96,U.t.p. Zona Rural,-49.2751675526,-16.5695264368
505,1314869,168704,210688,0.921549201011658,verdadeiro,det_1314869.png,,0.0,256.0,,681699.44,8167254.48,U.t.p. Zona Rural,-49.2970406879,-16.5698915107
506,1314869,168704,210688,0.623423039913177,verdadeiro,det_1314869.png,0.0,0.26953125,,,681699.44,8167254.48,U.t.p. Zona Rural,-49.2970406879,-16.5698915107
507,1314926,168704,225280,0.850874185562134,verdadeiro,det_1314926.png,0.0345458984375,0.0,,256.0,682866.8,8167254.48,U.t.p. Zona Rural,-49.2861032624,-16.5698017873
508,1314926,168704,225280,0.790179133415222,verdadeiro,det_1314926.png,,0.0,256.0,,682866.8,8167254.48,U.t.p. Zona Rural,-49.2861032624,-16.5698017873
512,1318477,169216,113408,0.658796787261963,falso,det_1318477.png,,,,256.0,673917.04,8167213.52,U.t.p. Zona Rural,-49.3699554468,-16.5708451271
513,1318489,169216,116480,0.648781955242157,falso,det_1318489.png,,,,,674162.8,8167213.52,U.t.p. Zona Rural,-49.3676527282,-16.5708270906
514,1318777,169216,190208,0.61135858297348,falso,det_1318777.png,,,,256.0,680061.04,8167213.52,U.t.p. Zona Rural,-49.3123883496,-16.5703865843
518,1320553,169472,134400,0.657914996147156,falso,det_1320553.png,,,,,675596.4,8167193.04,U.t.p. Zona Rural,-49.3542186874,-16.5709064316
521,1322859,169728,214272,0.768997251987457,verdadeiro,det_1322859.png,,0.0,256.0,,681986.16,8167172.56,U.t.p. Zona Rural,-49.2943477781,-16.5706097472
526,1324814,169984,204288,0.753356873989105,falso,det_1324814.png,0.7161865234375,,,256.0,681187.44,8167152.08,U.t.p. Zona Rural,-49.3018297135,-16.5708559615
531,1326449,170240,112384,0.734645903110504,falso,det_1326449.png,,,,,673835.12,8167131.6,U.t.p. Zona Rural,-49.3707167934,-16.5715913832
532,1326747,170240,188672,0.614560961723328,falso,det_1326747.png,,,,,679938.16,8167131.6,U.t.p. Zona Rural,-49.3135332284,-16.571136139
533,1326858,170240,217088,0.96874612569809,verdadeiro,det_1326858.png,,0.0,,,682211.44,8167131.6,U.t.p. Zona Rural,-49.2922337735,-16.5709625588
539,1330416,170752,107008,0.6391441822052,falso,det_1330416.png,,,,,673405.04,8167090.64,U.t.p. Zona Rural,-49.3747434691,-16.571992998
540,1330578,170752,148480,0.752147734165192,falso,det_1330578.png,,,,,676722.8,8167090.64,U.t.p. Zona Rural,-49.3436567512,-16.5717480572
541,1330787,170752,201984,0.774964928627014,falso,det_1330787.png,,,,,681003.12,8167090.64,U.t.p. Zona Rural,-49.3035518318,-16.5714252052
546,1332754,171008,195072,0.615736305713654,falso,det_1332754.png,,,,,680450.16,8167070.16,U.t.p. Zona Rural,-49.3087311838,-16.5716524038
555,1336960,171520,250880,0.949944019317627,verdadeiro,det_1336960.png,0.0,,,,684914.8,8167029.2,U.t.p. Campus Universit?rio/Conjunto Itatiaia,-49.2668967467,-16.571678569
560,1338406,171776,110592,0.729798913002014,falso,det_1338406.png,,0.659957885742188,,,673691.76,8167008.72,U.t.p. Zona Rural,-49.3720507197,-16.5727122632
564,1340385,172032,106752,0.683823823928833,falso,det_1340385.png,,0.181755065917969,,,673384.56,8166988.24,U.t.p. Zona Rural,-49.3749275999,-16.5729198093
565,1340395,172032,109312,0.604291081428528,falso,det_1340395.png,,,,,673589.36,8166988.24,U.t.p. Zona Rural,-49.3730086422,-16.5729048247
566,1340561,172032,151808,0.710209846496582,falso,det_1340561.png,,,,256.0,676989.04,8166988.24,U.t.p. Zona Rural,-49.3411542356,-16.5726534986
570,1340860,172032,228352,0.6290363073349,falso,det_1340860.png,,0.453598022460938,256.0,,683112.56,8166988.24,U.t.p. Zona Rural,-49.2837793385,-16.5721885289
571,1340861,172032,228608,0.639642894268036,falso,det_1340861.png,0.0068359375,0.0,,,683133.04,8166988.24,U.t.p. Zona Rural,-49.2835874523,-16.5721869473
572,1340901,172032,238848,0.756271064281464,falso,det_1340901.png,,,,,683952.24,8166988.24,U.t.p. Zona Rural,-49.2759120222,-16.5721235394
579,1342836,172288,223744,0.732720136642456,verdadeiro,det_1342836.png,,0.0,256.0,256.0,682743.92,8166967.76,U.t.p. Zona Rural,-49.2872316568,-16.5724020216
581,1343142,172288,302080,0.733987510204315,falso,det_1343142.png,0.014984130859375,0.0,,,689010.8,8166967.76,U.t.p. Zona Rural,-49.2285152995,-16.5719107841
583,1344801,172544,216320,0.633110642433167,falso,det_1344801.png,,,,,682150.0,8166947.28,U.t.p. Zona Rural,-49.2927947501,-16.5726327738
585,1344844,172544,227328,0.939874649047852,verdadeiro,det_1344844.png,,0.0,256.0,256.0,683030.64,8166947.28,U.t.p. Zona Rural,-49.2845436051,-16.5725649618
586,1344844,172544,227328,0.906583786010742,verdadeiro,det_1344844.png,0.0,0.033782958984375,,,683030.64,8166947.28,U.t.p. Zona Rural,-49.2845436051,-16.5725649618
587,1345215,172544,322304,0.640444338321686,falso,det_1345215.png,,,,,690628.72,8166947.28,U.t.p. Zona Rural,-49.2133551201,-16.5719663228
590,1346795,172800,216320,0.639182448387146,falso,det_1346795.png,,,,256.0,682150.0,8166926.8,U.t.p. Zona Rural,-49.2927931188,-16.5728178288
592,1348809,173056,221440,0.843389272689819,verdadeiro,det_1348809.png,,0.279594421386719,256.0,,682559.6,8166906.32,U.t.p. Zona Rural,-49.2889537334,-16.5729713832
593,1348919,173056,249600,0.60553914308548,falso,det_1348919.png,,,,,684812.4,8166906.32,U.t.p. Zona Rural,-49.2678462363,-16.5727968672
